,Dato,Kvitteringer,eResept,NAV,Basismeldinger,Folkehelseinstituttet,Dialogmeldinger,Systemmeldinger,Pleie- og omsorgsmeldinger,Partnermeldinger,Skatteetaten,Helsedirektoratet,Kreftmeldinger,Neonatal,Ikke spesifisert,Ikke Kategoriserte,Totalt antall meldinger,Antall ebxml meldinger,Antall medisinske meldinger,Ikke kategorisert,Antall ikke ebxml meldinger,eResept-meldinger,NAV- og HELFO-meldinger,FHI-meldinger,eResept-meldinger 
0,2017-01-01,81129,27034.0,15368.0,8393,763.0,1096,1676,1723,52.0,97,95,0,0.0,11.0,284,141939,137721,54580,,,,,,
1,2017-01-02,981185,285671.0,284839.0,86626,16864.0,10270,2925,6252,294.0,109,538,100,997.0,31.0,1266,1720766,1677967,692297,,,,,,
2,2017-01-03,999569,291249.0,281895.0,103650,23225.0,10471,2869,6208,359.0,142,524,0,192.0,25.0,1283,1770684,1721661,717581,,,,,,
3,2017-01-04,1020398,300728.0,262055.0,112092,23950.0,10848,3225,6104,387.0,124,402,0,92.0,18.0,1325,1790409,1741748,716413,,,,,,
4,2017-01-05,965375,346644.0,211328.0,118937,15004.0,10683,3252,5957,388.0,121,3547,288,0.0,7.0,1348,1732333,1682879,712516,,,,,,
5,2017-01-06,1080907,327839.0,254963.0,114788,33513.0,10191,3074,6138,309.0,109,487,76,201.0,21.0,1264,1878780,1833880,748326,,,,,,
6,2017-01-07,245804,146867.0,26093.0,15566,799.0,1171,1761,1721,41.0,108,291,0,28.0,0.0,423,479079,440673,192644,,,,,,
7,2017-01-08,80103,19199.0,17592.0,10381,1306.0,1318,1765,1761,45.0,89,230,0,22.0,1.0,373,139141,134185,51899,,,,,,
8,2017-01-09,1072286,346993.0,222347.0,119447,19594.0,11502,5273,6616,390.0,99,1108,6,118.0,22.0,1436,1860968,1807237,727852,,,,,,
9,2017-01-10,1207862,345539.0,351807.0,128136,22161.0,10799,3361,5986,452.0,135,766,0,16.0,2.0,1406,2137137,2078428,865347,,,,,,
10,2017-01-11,1095727,356187.0,240746.0,127649,19643.0,10926,2823,6117,363.0,137,338,0,3.0,11.0,1602,1913027,1862272,761757,,,,,,
11,2017-01-12,1123941,364866.0,242195.0,129987,21527.0,11091,3491,6043,418.0,144,311,206,0.0,3.0,1397,1985446,1905620,776373,,,,,,
12,2017-01-13,1054364,357404.0,216860.0,121395,15852.0,10552,3706,6075,259.0,118,290,0,91.0,1.0,1308,1839454,1788275,728638,,,,,,
13,2017-01-14,259625,156161.0,22718.0,18284,824.0,1375,2397,1679,55.0,118,95,0,0.0,0.0,345,510648,463676,201254,,,,,,
14,2017-01-15,95131,20088.0,21410.0,12715,863.0,1574,2169,1560,62.0,92,65,0,0.0,0.0,362,160655,156091,58367,,,,,,
15,2017-01-16,1190895,369552.0,313018.0,126186,23609.0,11974,5149,6667,353.0,110,253,0,42.0,14.0,1596,2102537,2049418,851425,,,,,,
